fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,pred_score
7.8,0.6,0.26,2.0,0.08,31,131,0.9962200000000001,3.21,0.52,9.9,0.009086493240128933
7.2,0.695,0.13,2.0,0.076,12,20,0.99546,3.29,0.54,10.1,0.013748364121184766
7.2,0.695,0.13,2.0,0.076,12,20,0.99546,3.29,0.54,10.1,0.013748364121184766
7.2,0.695,0.13,2.0,0.076,12,20,0.99546,3.29,0.54,10.1,0.013748364121184766
6.7,0.67,0.02,1.9,0.061,26,42,0.9948899999999999,3.39,0.82,10.9,0.0895729972167767
6.7,0.16,0.64,2.1,0.059000000000000004,24,52,0.9949399999999999,3.34,0.71,11.2,0.13435763462988032
7.2,0.695,0.13,2.0,0.076,12,20,0.99546,3.29,0.54,10.1,0.013748364121184766
7.0,0.56,0.13,1.6,0.077,25,42,0.99629,3.34,0.59,9.2,0.00918167397029767
6.2,0.51,0.14,1.9,0.055999999999999994,15,34,0.9939600000000001,3.48,0.57,11.5,0.04985712589812165
6.4,0.36,0.53,2.2,0.23,19,35,0.9934,3.37,0.93,12.4,0.8396700874459325
6.4,0.38,0.14,2.2,0.038,15,25,0.9951399999999999,3.44,0.65,11.1,0.43411768405434004
7.3,0.69,0.32,2.2,0.069,35,104,0.9963200000000001,3.33,0.51,9.5,0.004170846525950023
6.0,0.58,0.2,2.4,0.075,15,50,0.99467,3.58,0.67,12.5,0.2410682319354923
5.6,0.31,0.78,13.9,0.07400000000000001,23,92,0.99677,3.39,0.48,10.5,0.7885282944612387
7.5,0.52,0.4,2.2,0.06,12,20,0.99474,3.26,0.64,11.8,0.33186635554753324
8.0,0.3,0.63,1.6,0.081,16,29,0.9958799999999999,3.3,0.78,10.8,0.5724359941841578
6.2,0.7,0.15,5.1,0.076,13,27,0.9962200000000001,3.54,0.6,11.9,0.10687592233603965
6.8,0.67,0.15,1.8,0.11800000000000001,13,20,0.9954,3.42,0.67,11.3,0.0603829721065523
6.2,0.56,0.09,1.7,0.053,24,32,0.9940200000000001,3.54,0.6,11.3,0.05310985978580059
7.4,0.35,0.33,2.4,0.068,9,26,0.9947,3.36,0.6,11.9,0.1654220699071656
6.2,0.56,0.09,1.7,0.053,24,32,0.9940200000000001,3.54,0.6,11.3,0.05310985978580059
6.1,0.715,0.1,2.6,0.053,13,27,0.9936200000000001,3.57,0.5,11.9,0.02915889127401587
6.2,0.46,0.29,2.1,0.07400000000000001,32,98,0.9957799999999999,3.33,0.62,9.8,0.008030429268036187
6.7,0.32,0.44,2.4,0.061,24,34,0.99484,3.29,0.8,11.6,0.7310493768645812
7.2,0.39,0.44,2.6,0.066,22,48,0.9949399999999999,3.3,0.84,11.5,0.38811705162313226
7.5,0.31,0.41,2.4,0.065,34,60,0.99492,3.34,0.85,11.4,0.5007490199255035
5.8,0.61,0.11,1.8,0.066,18,28,0.9948299999999999,3.55,0.66,10.9,0.09370071170734574
7.2,0.66,0.33,2.5,0.068,34,102,0.9941399999999999,3.27,0.78,12.8,0.45508978184901766
6.6,0.725,0.2,7.8,0.073,29,79,0.9977,3.29,0.54,9.2,0.00570339704828457
6.3,0.55,0.15,1.8,0.077,26,35,0.9931399999999999,3.32,0.82,11.6,0.4485891007683596
5.4,0.74,0.09,1.7,0.08900000000000001,16,26,0.9940200000000001,3.67,0.56,11.6,0.08663442295053715
6.3,0.51,0.13,2.3,0.076,29,40,0.99574,3.42,0.75,11.0,0.125206854227579
6.8,0.62,0.08,1.9,0.068,28,38,0.99651,3.42,0.82,9.5,0.023893288685138497
6.2,0.6,0.08,2.0,0.09,32,44,0.9949,3.45,0.58,10.5,0.05057005923185036
5.9,0.55,0.1,2.2,0.062,39,51,0.9951200000000001,3.52,0.76,11.2,0.10647679130871117
6.3,0.51,0.13,2.3,0.076,29,40,0.99574,3.42,0.75,11.0,0.125206854227579
